Energia_C3,Energia_C4,Clase
10370545.978643026,10471193.815635245,Reposo
20593441.970554367,20736144.98273244,Reposo
30568951.02496998,30739303.86830488,Reposo
39214222.04132551,39400867.70233397,Reposo
46973777.86071119,47171803.615496285,Reposo
54669813.92156341,54877949.01965371,Reposo
61173778.284601845,61389403.94044509,Reposo
39381957.149718106,39568984.13912118,Reposo
74495478.77014114,74726494.47349647,Reposo
80028271.16288963,80264348.95369193,Reposo
85534600.80395393,85776302.72670951,Reposo
91331165.39985973,91578617.77441983,Reposo
96043287.18933077,96294946.94053271,Reposo
101115432.29658346,101371318.21217743,Reposo
104070266.5268158,104329039.90481476,Reposo
113318784.45954178,113583769.55675428,Passthought
117488418.60894655,117756972.2511122,Passthought
121915620.0877563,122186626.67665042,Passthought
125800371.609396,126074882.45721552,Passthought
130720097.14741014,130997363.75873338,Passthought
134489017.3365659,134768946.87457022,Passthought
138329427.01941413,138612073.2018843,Passthought
143954463.0396304,144240103.96697286,Passthought
147450185.68252054,147737964.62414193,Passthought
150638937.12995535,150928516.51542318,Passthought
153387321.72505876,153678871.03023165,Passthought
156994030.35410583,157286779.73141792,Passthought
162079448.00709903,162374846.29533175,Passthought
166071924.0681195,166369092.57475707,Passthought
171043479.98849642,171343938.20541322,Passthought
