index,image_id,is_target,buffer_index,timestamp
0,13,0,36584,155.198892
1,18,0,36736,155.805648
2,8,0,36868,156.333371
3,7,0,37008,156.908379
4,15,0,37168,157.561536
5,4,0,37300,158.066181
6,0,0,37452,158.655547
7,4,0,37592,159.340641
8,17,0,37732,159.783348
9,18,0,37872,160.358351
10,11,0,38020,160.933354
11,5,0,38160,161.510548
12,16,0,38316,162.129032
13,10,0,38464,162.711122
14,9,0,38600,163.287808
15,12,0,38744,163.824350
16,18,0,38872,164.383363
17,17,0,39032,165.019091
18,19,0,39168,165.533367
19,15,0,39316,166.120319
20,13,0,39472,166.771421
21,18,0,39604,167.264721
22,0,0,39748,167.839037
23,6,0,39892,168.439051
24,1,0,40016,169.014360
25,8,0,40172,169.558362
26,5,0,40328,170.175353
27,9,0,40468,170.743119
28,19,0,40608,171.302713
29,2,0,40752,171.900486
30,12,0,40896,172.433439
31,6,0,41040,173.032144
32,1,0,41180,173.605334
33,15,0,41328,174.171575
34,17,0,41480,174.781492
35,7,0,41620,175.344966
36,9,0,41764,175.901480
37,2,0,41888,176.458413
38,17,0,42044,177.095504
39,5,0,42192,177.619044
40,3,0,42324,178.185446
41,11,0,42488,178.818041
42,7,0,42616,179.333373
43,6,0,42760,179.908355
44,13,0,42900,180.495471
45,0,0,43052,181.066999
46,15,0,43184,181.633339
47,2,0,43336,182.221977
48,5,0,43484,182.783350
49,11,0,43620,183.358365
50,7,0,43760,183.940570
51,4,0,43916,184.516908
52,16,0,44064,185.105293
53,11,0,44204,185.684228
54,8,0,44340,186.236943
55,2,0,44488,186.821267
56,6,0,44636,187.396872
57,12,0,44776,187.958373
58,15,0,44904,188.547366
59,10,0,45080,189.178843
60,9,0,45200,189.695185
61,13,0,45352,190.258417
62,1,0,45500,190.891260
63,19,0,45636,191.408352
64,11,0,45784,192.006885
65,3,0,45932,192.595000
66,10,0,46076,193.154004
67,14,0,46216,193.767606
68,1,0,46356,194.283384
69,4,0,46500,194.858396
70,7,0,46644,195.454705
71,14,0,46784,196.008365
72,4,0,46940,196.635494
73,14,0,47072,197.158361
74,3,0,47216,197.733354
75,0,0,47380,198.373712
76,10,0,47500,198.896559
77,14,0,47644,199.458348
78,10,0,47800,200.048764
79,0,0,47932,200.608363
80,16,0,48088,201.199208
81,9,0,48232,201.786530
82,16,0,48368,202.337960
83,6,0,48512,202.911246
84,3,0,48664,203.526333
85,12,0,48800,204.058370
86,17,0,48936,204.633381
87,18,0,49084,205.208356
88,2,0,49240,205.808918
89,14,0,49388,206.401371
90,5,0,49524,206.944054
91,8,0,49664,207.526343
92,3,0,49812,208.125150
93,16,0,49952,208.658349
94,1,0,50108,209.301299
95,19,0,50240,209.824283
96,12,0,50380,210.388874
97,13,0,50528,210.981241
98,19,0,50664,211.552320
99,8,0,50820,212.137475
